ID_Venta,Producto,Categoría,Precio,Cantidad,Fecha,Ciudad,Método_Pago
1,Celular,Electrónica,250000,1,2025-06-15,,Efectivo
2,Silla Gamer,Hogar,120000,2,2025-01-26,Valparaíso,Transferencia
3,Celular,Electrónica,250000,5,2025-04-18,Santiago,Transferencia
4,Zapatos,Ropa,35000,1,2025-08-21,Santiago,Tarjeta
5,Silla Gamer,Hogar,120000,2,2025-02-23,Antofagasta,Transferencia
6,Auriculares,Electrónica,15000,5,2024-12-05,Valparaíso,Transferencia
7,Licuadora,Hogar,45000,4,2024-12-13,Valparaíso,Efectivo
8,Televisor,Electrónica,300000,3,2024-09-17,Santiago,Tarjeta
9,Zapatos,Ropa,35000,3,2025-05-09,Concepción,Tarjeta
10,Silla Gamer,Hogar,120000,3,2025-02-24,Santiago,Tarjeta
11,Zapatos,Ropa,35000,1,2025-02-01,Concepción,Efectivo
12,Televisor,Electrónica,300000,3,2025-03-26,Santiago,Transferencia
13,Polera,Ropa,12000,5,2025-01-02,Santiago,Efectivo
14,Celular,Electrónica,250000,5,2024-11-07,Concepción,Transferencia
15,Televisor,Electrónica,300000,3,2025-07-04,Antofagasta,Tarjeta
16,Celular,Electrónica,250000,1,2025-03-08,,Tarjeta
17,Escritorio,Hogar,70000,1,2025-08-04,Valparaíso,Tarjeta
18,Zapatos,Ropa,35000,3,2025-08-23,La Serena,Transferencia
19,Camisa,Ropa,18000,2,2025-07-14,Concepción,Efectivo
20,Silla Gamer,Hogar,120000,3,2024-11-13,,Transferencia
21,Celular,Electrónica,250000,5,2025-02-26,,Tarjeta
22,Licuadora,Hogar,45000,2,2024-11-19,Valparaíso,Efectivo
23,Zapatos,Ropa,35000,3,2025-06-29,,Transferencia
24,Licuadora,Hogar,45000,2,2024-09-14,,Efectivo
25,Auriculares,Electrónica,15000,2,2025-08-19,Santiago,Efectivo
26,Zapatos,Ropa,35000,3,2025-03-12,Santiago,Tarjeta
27,Televisor,Electrónica,300000,3,2024-10-01,Valparaíso,Transferencia
28,Polera,Ropa,12000,4,2025-03-26,,Efectivo
29,Cargador,Electrónica,8000,3,2025-08-04,Valparaíso,Tarjeta
30,Licuadora,Hogar,45000,5,2024-12-04,Concepción,Transferencia
31,Televisor,Electrónica,300000,4,2025-04-22,Antofagasta,Efectivo
32,Camisa,Ropa,18000,2,2025-03-20,Valparaíso,Transferencia
33,Polera,Ropa,12000,1,2025-03-07,Santiago,Tarjeta
34,Cargador,Electrónica,8000,2,2024-09-22,,Efectivo
35,Televisor,Electrónica,300000,1,2024-09-17,La Serena,Efectivo
36,Televisor,Electrónica,300000,4,2025-05-08,Antofagasta,Efectivo
37,Licuadora,Hogar,45000,1,2025-07-05,,Transferencia
38,Celular,Electrónica,250000,5,2025-05-02,Concepción,Transferencia
39,Camisa,Ropa,18000,1,2025-05-28,Concepción,Efectivo
40,Cargador,Electrónica,8000,4,2024-12-20,Santiago,Transferencia
41,Escritorio,Hogar,70000,5,2024-09-07,Valparaíso,Transferencia
42,Celular,Electrónica,250000,3,2024-12-26,,Transferencia
43,Televisor,Electrónica,300000,2,2025-09-03,Valparaíso,Efectivo
44,Cargador,Electrónica,8000,5,2025-04-14,Antofagasta,Tarjeta
45,Televisor,Electrónica,300000,3,2025-05-07,La Serena,Tarjeta
46,Celular,Electrónica,250000,3,2025-01-26,Concepción,Tarjeta
47,Auriculares,Electrónica,15000,2,2025-03-18,Antofagasta,Tarjeta
48,Celular,Electrónica,250000,4,2024-12-13,Santiago,Transferencia
49,Cargador,Electrónica,8000,2,2025-05-07,,Efectivo
50,Licuadora,Hogar,45000,2,2025-06-26,Concepción,Transferencia
51,Televisor,Electrónica,300000,4,2025-05-30,Valparaíso,Transferencia
52,Silla Gamer,Hogar,120000,3,2025-06-25,La Serena,Transferencia
53,Camisa,Ropa,18000,4,2024-11-01,Antofagasta,Efectivo
54,Celular,Electrónica,250000,2,2025-08-07,Valparaíso,Tarjeta
55,Camisa,Ropa,18000,1,2024-10-08,Antofagasta,Transferencia
56,Silla Gamer,Hogar,120000,5,2025-07-04,Valparaíso,Tarjeta
57,Celular,Electrónica,250000,1,2024-10-13,Valparaíso,Tarjeta
58,Auriculares,Electrónica,15000,3,2025-03-13,Santiago,Transferencia
59,Silla Gamer,Hogar,120000,3,2025-08-25,,Efectivo
60,Silla Gamer,Hogar,120000,5,2025-07-07,Valparaíso,Transferencia
61,Televisor,Electrónica,300000,5,2024-11-27,La Serena,Tarjeta
62,Polera,Ropa,12000,4,2025-07-19,Valparaíso,Tarjeta
63,Celular,Electrónica,250000,4,2025-08-29,Concepción,Efectivo
64,Zapatos,Ropa,35000,4,2025-04-11,,Tarjeta
65,Celular,Electrónica,250000,1,2024-09-23,La Serena,Transferencia
66,Camisa,Ropa,18000,1,2025-02-06,Valparaíso,Tarjeta
67,Silla Gamer,Hogar,120000,5,2025-01-26,La Serena,Tarjeta
68,Zapatos,Ropa,35000,2,2025-02-01,Concepción,Efectivo
69,Silla Gamer,Hogar,120000,1,2025-05-11,La Serena,Transferencia
70,Celular,Electrónica,250000,1,2025-04-18,,Transferencia
71,Auriculares,Electrónica,15000,1,2024-10-02,Valparaíso,Tarjeta
72,Zapatos,Ropa,35000,4,2025-07-23,La Serena,Tarjeta
73,Zapatos,Ropa,35000,1,2025-07-18,Valparaíso,Efectivo
74,Auriculares,Electrónica,15000,4,2024-10-26,Concepción,Efectivo
75,Escritorio,Hogar,70000,4,2025-02-08,,Transferencia
76,Licuadora,Hogar,45000,4,2024-11-03,Valparaíso,Tarjeta
77,Escritorio,Hogar,70000,2,2024-09-19,Santiago,Transferencia
78,Licuadora,Hogar,45000,1,2024-10-10,,Efectivo
79,Auriculares,Electrónica,15000,1,2025-03-07,Antofagasta,Efectivo
80,Licuadora,Hogar,45000,5,2025-06-04,Valparaíso,Tarjeta
81,Licuadora,Hogar,45000,1,2025-06-13,Valparaíso,Tarjeta
82,Televisor,Electrónica,300000,1,2025-02-22,,Tarjeta
83,Zapatos,Ropa,35000,1,2024-09-26,Antofagasta,Tarjeta
84,Televisor,Electrónica,300000,5,2025-07-19,Santiago,Transferencia
85,Celular,Electrónica,250000,4,2024-09-20,,Transferencia
86,Televisor,Electrónica,300000,5,2024-09-28,Concepción,Efectivo
87,Silla Gamer,Hogar,120000,3,2025-04-17,Valparaíso,Efectivo
88,Zapatos,Ropa,35000,2,2024-11-13,,Transferencia
89,Escritorio,Hogar,70000,4,2025-06-13,Concepción,Tarjeta
90,Auriculares,Electrónica,15000,4,2025-01-25,Antofagasta,Transferencia
91,Celular,Electrónica,250000,1,2024-10-25,Antofagasta,Tarjeta
92,Licuadora,Hogar,45000,3,2025-01-26,Valparaíso,Efectivo
93,Celular,Electrónica,250000,2,2025-08-04,Concepción,Efectivo
94,Cargador,Electrónica,8000,4,2025-07-21,Antofagasta,Transferencia
